id,title,display_title,date,source_url,folder,type,author,reliability,side,notes
legal_gov_uscourts_nysd_590939_519_0_pdf,gov.uscourts.nysd.590939.519.0.pdf,Court Filing 519,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_545_0_pdf,gov.uscourts.nysd.590939.545.0.pdf,Court Filing 545,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_559_0_pdf,gov.uscourts.nysd.590939.559.0.pdf,Court Filing 559,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_554_0_pdf,gov.uscourts.nysd.590939.554.0.pdf,Court Filing 554,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_516_0_pdf,gov.uscourts.nysd.590939.516.0.pdf,Court Filing 516,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_583_0_pdf,gov.uscourts.nysd.590939.583.0.pdf,Court Filing 583,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_539_0_pdf,gov.uscourts.nysd.590939.539.0.pdf,Court Filing 539,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_522_0_pdf,gov.uscourts.nysd.590939.522.0.pdf,Court Filing 522,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_563_0_pdf,gov.uscourts.nysd.590939.563.0.pdf,Court Filing 563,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_573_2_pdf,gov.uscourts.nysd.590939.573.2.pdf,"Court Filing 573, Attachment 2",,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_553_0_pdf,gov.uscourts.nysd.590939.553.0.pdf,Court Filing 553,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_523_3_pdf,gov.uscourts.nysd.590939.523.3.pdf,"Court Filing 523, Attachment 3",,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_520_0_pdf,gov.uscourts.nysd.590939.520.0.pdf,Court Filing 520,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_510_0_pdf,gov.uscourts.nysd.590939.510.0.pdf,Court Filing 510,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_521_0_pdf,gov.uscourts.nysd.590939.521.0.pdf,Court Filing 521,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_540_0_1_pdf,gov.uscourts.nysd.590939.540.0_1.pdf,Court Filing 540,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_542_0_pdf,gov.uscourts.nysd.590939.542.0.pdf,Court Filing 542,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_524_0_pdf,gov.uscourts.nysd.590939.524.0.pdf,Court Filing 524,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_531_0_pdf,gov.uscourts.nysd.590939.531.0.pdf,Court Filing 531,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_587_0_pdf,gov.uscourts.nysd.590939.587.0.pdf,Court Filing 587,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_555_0_pdf,gov.uscourts.nysd.590939.555.0.pdf,Court Filing 555,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_527_0_pdf,gov.uscourts.nysd.590939.527.0.pdf,Court Filing 527,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_523_1_pdf,gov.uscourts.nysd.590939.523.1.pdf,"Court Filing 523, Attachment 1",,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_552_0_pdf,gov.uscourts.nysd.590939.552.0.pdf,Court Filing 552,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_548_0_pdf,gov.uscourts.nysd.590939.548.0.pdf,Court Filing 548,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_543_0_pdf,gov.uscourts.nysd.590939.543.0.pdf,Court Filing 543,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_592_0_pdf,gov.uscourts.nysd.590939.592.0.pdf,Court Filing 592,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_523_0_pdf,gov.uscourts.nysd.590939.523.0.pdf,Court Filing 523,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_518_1_pdf,gov.uscourts.nysd.590939.518.1.pdf,"Court Filing 518, Attachment 1",,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_544_0_pdf,gov.uscourts.nysd.590939.544.0.pdf,Court Filing 544,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_532_0_pdf,gov.uscourts.nysd.590939.532.0.pdf,Court Filing 532,,,legal,court filing,,high,court,auto-enriched from filename/folder
legal_gov_uscourts_nysd_590939_529_0_pdf,gov.uscourts.nysd.590939.529.0.pdf,Court Filing 529,,,legal,court filing,,high,court,auto-enriched from filename/folder
